Date,Hour,ME,NH,VT,CT,RI,SEMA,WCMA,NEMA,METemp,NHTemp,VTTemp,CTTemp,RITemp,SEMATemp,WCMATemp,NEMATemp
1/1/2015,1,1235,1251,678,3295,830,1585,1811,2700,19,9,21,13,22,22,14,22
1/1/2015,2,1184,1183,645,3148,795,1500,1739,2615,19,14,22,18,20,20,14,22
1/1/2015,3,1158,1147,624,3040,771,1443,1688,2527,19,16,21,20,20,20,17,22
1/1/2015,4,1139,1129,613,2994,761,1415,1659,2483,21,17,21,23,22,22,17,22
1/1/2015,5,1146,1136,613,3000,756,1418,1664,2491,22,19,22,22,24,24,17,24
1/1/2015,6,1182,1162,622,3068,775,1457,1705,2567,20,16,22,23,24,24,17,22
1/1/2015,7,1237,1217,646,3168,802,1512,1764,2668,19,10,22,23,23,23,17,23
1/1/2015,8,1291,1261,677,3214,812,1543,1790,2706,18,14,22,23,23,23,17,23
1/1/2015,9,1360,1329,706,3310,838,1590,1839,2757,19,14,21,24,24,24,18,22
1/1/2015,10,1431,1393,724,3429,876,1632,1886,2818,22,21,23,26,26,26,20,25
1/1/2015,11,1457,1432,758,3529,906,1664,1922,2865,26,24,24,28,28,28,22,28
1/1/2015,12,1438,1444,760,3572,918,1684,1944,2892,28,27,25,30,30,30,25,30
1/1/2015,13,1415,1436,765,3566,921,1687,1945,2897,28,29,27,32,30,30,26,31
1/1/2015,14,1420,1423,760,3538,914,1691,1929,2880,30,29,27,33,32,32,26,32
1/1/2015,15,1412,1400,760,3499,907,1696,1925,2872,31,30,28,34,32,32,27,33
1/1/2015,16,1434,1414,776,3536,914,1741,1970,2917,31,31,28,33,33,33,27,33
1/1/2015,17,1547,1539,820,3809,995,1922,2129,3129,31,31,29,33,32,32,26,31
1/1/2015,18,1627,1652,859,4145,1071,2083,2285,3302,30,29,29,32,31,31,25,31
1/1/2015,19,1586,1633,854,4106,1066,2065,2266,3273,30,29,30,31,31,31,25,30
1/1/2015,20,1529,1581,824,4003,1036,2008,2208,3201,30,26,30,31,31,31,24,31
1/1/2015,21,1457,1515,812,3875,1005,1924,2144,3121,31,26,29,31,30,30,26,30
1/1/2015,22,1388,1425,765,3676,953,1810,2035,2998,30,23,29,32,28,28,28,30
1/1/2015,23,1285,1308,708,3408,879,1657,1887,2810,29,22,29,32,34,34,29,31
1/1/2015,24,1210,1203,658,3135,807,1509,1747,2616,28,22,29,34,36,36,30,31
1/2/2015,1,1148,1126,624,2929,756,1400,1643,2466,27,23,29,34,36,36,30,31
1/2/2015,2,1125,1083,600,2797,720,1331,1570,2363,28,21,30,33,37,37,30,33
1/2/2015,3,1105,1064,586,2746,702,1300,1539,2320,28,19,30,32,36,36,29,33
1/2/2015,4,1110,1067,582,2741,702,1295,1539,2321,27,20,32,31,35,35,28,32
1/2/2015,5,1135,1096,592,2806,711,1329,1572,2378,27,19,32,29,33,33,27,32
1/2/2015,6,1200,1172,622,2983,753,1424,1673,2537,28,24,30,30,30,30,28,32
1/2/2015,7,1321,1289,680,3253,825,1558,1828,2766,29,25,28,32,30,30,29,34
1/2/2015,8,1406,1387,744,3480,880,1660,1952,2930,29,22,28,33,30,30,30,34
1/2/2015,9,1458,1447,786,3646,923,1714,2018,3016,29,24,26,34,33,33,28,33
